target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,sum_aug_weight_kept,sum_weight_per_candidate,CE_real,CE_aug_raw,CE_aug_weighted,final_train_loss,artifact_threshold,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier,class_0_accuracy,class_0_f1,class_1_accuracy,class_1_f1
106,22,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.278524786233902,0.31508752703666687,0.3150874972343445,0.5936123132705688,2.2442315578460743,0,0,0.6857142857142857,0.6611842105263157,0.6438482886216466,0.33734939759036153,0.7203947368421053,0.7576641376067549,0.28174016773700716,0.48874402046203613,0.9473684210526315,0.7659574468085106,0.375,0.5217391304347825
106,22,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,1.0,1.0,60.0,1.0,0.27823615074157715,0.31615403294563293,0.31312450766563416,0.5913606882095337,2.2442315578460743,0,0,0.6857142857142857,0.6611842105263157,0.6438482886216466,0.33734939759036153,0.7236842105263157,0.7722876130136639,0.19829690371240888,0.49547624588012695,0.9473684210526315,0.7659574468085106,0.375,0.5217391304347825
106,22,SAS-Cert-SCB-CU-LS-v1.4,10,60,60,0.0,0.9999999403953552,0.9999999403953552,59.999996185302734,0.9999999364217123,0.2745344340801239,0.3117527663707733,0.30796247720718384,0.5824968814849854,2.2442315578460743,0,0,0.6857142857142857,0.6611842105263157,0.6438482886216466,0.33734939759036153,0.7236842105263157,0.7485672786414479,0.2280291838305337,0.48476192355155945,0.9473684210526315,0.7659574468085106,0.375,0.5217391304347825
106,23,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.30506691336631775,0.402715265750885,0.4027152359485626,0.7077821493148804,3.0579006195068366,0,0,0.7428571428571429,0.7286184210526316,0.7286821705426356,0.4688026981450253,0.805921052631579,0.5672929293851022,0.19521437457629612,0.39117181301116943,0.8947368421052632,0.7906976744186046,0.5625,0.6666666666666666
106,23,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,1.0,1.0,60.0,1.0,0.29780063033103943,0.3960762321949005,0.38256797194480896,0.6803686022758484,3.0579006195068366,0,0,0.7428571428571429,0.7335526315789473,0.735071488645921,0.4741235392320534,0.8026315789473684,0.5575065181544723,0.16864660041672844,0.3854753077030182,0.8421052631578947,0.7804878048780488,0.625,0.6896551724137931
106,23,SAS-Cert-SCB-CU-LS-v1.4,10,60,60,0.0,1.0,1.0,60.0,1.0,0.3070796728134155,0.41085875034332275,0.3872701823711395,0.6943498849868774,3.0579006195068366,0,0,0.7428571428571429,0.7286184210526316,0.7286821705426356,0.4688026981450253,0.805921052631579,0.5702551451292028,0.20637636610439847,0.39155229926109314,0.8947368421052632,0.7906976744186046,0.5625,0.6666666666666666
106,24,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.2750842571258545,0.2984510064125061,0.2984509766101837,0.5735352039337158,3.325754523277288,0,0,0.6285714285714286,0.6430921052631579,0.6236559139784947,0.27662957074721783,0.7993421052631579,0.6470453255830068,0.22038090995379855,0.4603032171726227,0.47368421052631576,0.5806451612903226,0.8125,0.6666666666666667
106,24,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,1.0,1.0,60.0,1.0,0.28665775060653687,0.31248289346694946,0.31800156831741333,0.6046593189239502,3.325754523277288,0,0,0.6571428571428571,0.669407894736842,0.6546052631578948,0.32907348242811507,0.799342105263158,0.6342396978452326,0.22673331243651254,0.44834497570991516,0.5263157894736842,0.625,0.8125,0.6842105263157896
106,24,SAS-Cert-SCB-CU-LS-v1.4,10,60,60,0.0,1.0,1.0,60.0,1.0,0.2867702841758728,0.31272393465042114,0.3186268210411072,0.60539710521698,3.325754523277288,0,0,0.6571428571428571,0.669407894736842,0.6546052631578948,0.32907348242811507,0.799342105263158,0.6337676017727419,0.22667562365531924,0.44805002212524414,0.5263157894736842,0.625,0.8125,0.6842105263157896
107,20,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.30106067657470703,0.4329010844230652,0.4329010546207428,0.7339617013931274,3.1271884441375732,0,0,0.5428571428571428,0.5592105263157895,0.5333333333333333,0.11392405063291133,0.6085526315789473,0.8133984095995068,0.30599033917699536,0.5714789032936096,0.3684210526315789,0.4666666666666667,0.75,0.6
107,20,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,0.9999999403953552,0.9999999403953552,59.999996185302734,0.9999999364217123,0.3021353781223297,0.4367605745792389,0.4039870500564575,0.7061223983764648,3.1271884441375732,0,0,0.5428571428571428,0.5592105263157895,0.5333333333333333,0.11392405063291133,0.6052631578947368,0.8203407778935553,0.29265769379479545,0.5745724439620972,0.3684210526315789,0.4666666666666667,0.75,0.6
107,20,SAS-Cert-SCB-CU-LS-v1.4,10,60,60,0.0,1.0,1.0,60.0,1.0,0.3026612401008606,0.43791767954826355,0.41498348116874695,0.7176446914672852,3.1271884441375732,0,0,0.5428571428571428,0.5592105263157895,0.5333333333333333,0.11392405063291133,0.6085526315789473,0.8193530540175562,0.27883984361376085,0.5751131772994995,0.3684210526315789,0.4666666666666667,0.75,0.6
107,21,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,60.0,1.0,0.4613722860813141,0.454025000333786,0.4540249705314636,0.9153972864151001,2.370768928527832,0,0,0.7428571428571429,0.743421052631579,0.7420147420147419,0.4844517184942716,0.7467105263157895,0.5966305739723884,0.15183704239981516,0.4012059271335602,0.7368421052631579,0.7567567567567567,0.75,0.7272727272727272
107,21,SAS-Cert-CU-LS-v1.3,10,60,60,0.0,1.0000001192092896,1.0000001192092896,60.000003814697266,1.0000000635782877,0.40265095233917236,0.41893845796585083,0.4153011441230774,0.8179520964622498,2.370768928527832,0,0,0.7714285714285715,0.774671052631579,0.7712418300653594,0.5439739413680782,0.7828947368421053,0.5621402516576005,0.12400122540337698,0.37155434489250183,0.7368421052631579,0.7777777777777778,0.8125,0.7647058823529411
