class,metric,v1_4_mean,naive_mean,v1_3_mean,delta_v1_4_vs_naive,delta_v1_4_vs_v1_3
0,class_0_accuracy,0.7385524466503568,0.7380896981845123,0.7417327012083205,0.0004627484658444869,-0.0031802545579636687
0,class_0_f1,0.7488258636879257,0.7482566820792926,0.7509281073150216,0.0005691816086330626,-0.002102243627095879
1,class_1_accuracy,0.7760987053795877,0.7753103066867771,0.7758237556561086,0.0007883986928105546,0.00027494972347907876
1,class_1_f1,0.7564725844172122,0.7564521675142886,0.7576497455490759,2.041690292364784e-05,-0.0011771611318637243
