aug_id,original_local_index,aug_type,label,e_embed_raw,e_proto_raw,e_pred_raw,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,d_band,d_cov_riemann,d_style,e_total,artifact_gate_pass,soft_weight_v1_1,softar_weight_v1_1
gaussian_noise_000_00,0,gaussian_noise,1,0.9999674558639526,0.06749778985977173,-4.936164259561338e-07,0.7118644118309021,0.6101694703102112,0.7457627058029175,0.06779661029577255,4.230755805969238,12.1128511428833,1.104142665863037,171.57008361816406,1.762711763381958,0,0.8779661059379578,0.0
time_shift_000_01,0,time_shift,1,0.9941043853759766,0.07170045375823975,-2.753106673480943e-05,0.18644067645072937,0.6271186470985413,0.9491525292396545,0.35593220591545105,1.8115217685699463,0.0,5.800204609142379e-13,171.1566925048828,1.4491524696350098,1,0.7288135290145874,0.7288135290145874
time_crop_000_02,0,time_crop,1,0.9998601078987122,0.06822079420089722,-6.646794645348564e-06,0.5423728823661804,0.694915235042572,0.22033898532390594,0.10169491171836853,3.3069398403167725,291.8830261230469,1.36067795753479,156.7735137939453,1.110169529914856,1,0.47118645906448364,0.47118645906448364
frequency_mask_000_03,0,frequency_mask,1,0.9989650845527649,0.05985051393508911,-0.00014785098028369248,0.1525423675775528,0.5593220591545105,0.37288135290145874,0.4406779706478119,1.673616647720337,127.03427124023438,1.9268921613693237,184.17742919921875,0.8050847053527832,1,0.3627118468284607,0.3627118468284607
channel_dropout_000_04,0,channel_dropout,1,0.9998196959495544,0.06904596090316772,-2.1606556401820853e-06,0.5254237055778503,0.1355932205915451,0.11864406615495682,0.37288135290145874,1.782513976097107,688.4715576171875,15.084431648254395,254.67083740234375,0.7118643522262573,1,0.3084745705127716,0.3084745705127716
mild_frequency_mixup_000_05,0,mild_frequency_mixup,1,0.9998506307601929,0.0663498044013977,-4.0259874367620796e-07,0.5593220591545105,0.5932203531265259,0.47457626461982727,0.4576271176338196,1.6701160669326782,81.92245483398438,1.0124677419662476,177.8866729736328,1.3305084705352783,1,0.6474576592445374,0.6474576592445374
gaussian_noise_001_00,1,gaussian_noise,1,0.9999801516532898,0.07642877101898193,-1.0088848512168624e-07,0.7796609997749329,0.38983049988746643,0.8135592937469482,0.050847455859184265,4.336963653564453,10.172658920288086,0.7421400547027588,203.2462615966797,1.7881355285644531,0,0.891525387763977,0.0
time_shift_001_01,1,time_shift,1,0.9973871111869812,0.08502000570297241,-4.848529897572007e-06,0.4067796468734741,0.4067796468734741,1.0,0.2542372941970825,2.089829206466675,0.0,2.9905849389770534e-13,202.6620330810547,1.6101694107055664,1,0.810169517993927,0.810169517993927
time_crop_001_02,1,time_crop,1,0.9999197125434875,0.0783572793006897,-2.455853973515332e-07,0.7457627058029175,0.508474588394165,0.23728813230991364,0.08474576473236084,3.8396198749542236,286.960693359375,1.396593451499939,197.40122985839844,1.2372881174087524,0,0.5661017298698425,0.0
frequency_mask_001_03,1,frequency_mask,1,0.9996610283851624,0.07988578081130981,-7.756461855024099e-07,0.47457626461982727,0.4237288236618042,0.5254237055778503,0.4067796468734741,1.7380659580230713,64.7316665649414,1.5383028984069824,201.6213836669922,1.2118644714355469,1,0.5525423884391785,0.5525423884391785
channel_dropout_001_04,1,channel_dropout,1,0.997969925403595,0.0768129825592041,-4.380924565339228e-07,0.38983049988746643,0.06779661029577255,0.1355932205915451,0.2881355881690979,2.006314992904663,570.4375,15.931047439575195,286.9845886230469,0.5593219995498657,1,0.2677966058254242,0.2677966058254242
mild_frequency_mixup_001_05,1,mild_frequency_mixup,1,0.9997432231903076,0.080843985080719,-5.294273250910919e-07,0.5762711763381958,0.4576271176338196,0.49152541160583496,0.33898305892944336,1.8355365991592407,80.87269592285156,1.073492169380188,200.39755249023438,1.2966101169586182,1,0.6203389763832092,0.6203389763832092
gaussian_noise_002_00,2,gaussian_noise,1,0.9999314546585083,0.08695453405380249,-9.821457069847384e-08,0.8983050584793091,0.7457627058029175,0.7796609997749329,0.1525423675775528,3.1122305393218994,11.280474662780762,0.9412359595298767,141.53451538085938,2.0508475303649902,1,0.9864406585693359,0.9864406585693359
time_shift_002_01,2,time_shift,1,0.996337890625,0.08188700675964355,-6.598432378268626e-07,0.32203391194343567,0.7627118825912476,0.9830508232116699,0.6440678238868713,0.6931413412094116,0.0,4.4305775411326853e-13,141.08251953125,1.6864407062530518,1,0.8508474230766296,0.8508474230766296
