aug_id,original_local_index,aug_type,label,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,sas_score,score_artifact_gate_physio,score_direction_fixed_total
clean_000_00,0,clean,1,0.44897958636283875,0.918367326259613,0.8979591727256775,0.26530611515045166,297.91302490234375,0.34795916080474854,0.8979591727256775,0.7387754917144775
clean_000_01,0,clean,1,0.3265306055545807,0.10204081982374191,0.4693877696990967,0.36734694242477417,283.87921142578125,0.3489795923233032,0.4693877696990967,0.5265306234359741
bad_artifact_000_02,0,bad_artifact,1,0.6530612111091614,0.2448979616165161,0.5918367505073547,0.1428571492433548,457.9116516113281,0.37244898080825806,0.5918367505073547,0.5204081535339355
bad_content_000_03,0,bad_content,1,0.1428571492433548,0.4693877696990967,0.36734694242477417,0.8571428656578064,0.22958290576934814,0.5357142686843872,0.36734694242477417,0.4979591965675354
bad_physio_000_04,0,bad_physio,1,0.8979591727256775,0.6938775777816772,0.26530611515045166,0.6326530575752258,2.519056797027588,0.7520408034324646,0.26530611515045166,0.29795917868614197
clean_001_00,1,clean,1,0.5102040767669678,0.6530612111091614,0.7755101919174194,0.5306122303009033,255.63955688476562,0.5214285850524902,0.7755101919174194,0.5806122422218323
clean_001_01,1,clean,1,0.4897959232330322,0.6326530575752258,0.8775510191917419,0.3877550959587097,282.872802734375,0.4336734712123871,0.8775510191917419,0.6459183692932129
bad_artifact_001_02,1,bad_artifact,1,0.8367347121238708,0.30612245202064514,0.7346938848495483,0.10204081982374191,1023.4151611328125,0.4326530694961548,0.7346938848495483,0.5112244486808777
bad_content_001_03,1,bad_content,1,0.26530611515045166,0.3877550959587097,0.30612245202064514,0.8163265585899353,0.42897140979766846,0.5683673620223999,0.30612245202064514,0.4377550780773163
bad_physio_001_04,1,bad_physio,1,1.0,0.5510203838348389,0.40816327929496765,0.7755101919174194,1.6661458015441895,0.876530647277832,0.40816327929496765,0.24081633985042572
clean_002_00,2,clean,1,0.5306122303009033,0.9387755393981934,0.795918345451355,0.4285714328289032,268.32208251953125,0.4744897782802582,0.795918345451355,0.6469388008117676
clean_002_01,2,clean,1,0.5714285969734192,0.9795918464660645,0.9387755393981934,0.20408163964748383,329.0386047363281,0.36938777565956116,0.9387755393981934,0.7306122779846191
bad_artifact_002_02,2,bad_artifact,1,0.8775510191917419,0.16326530277729034,0.7142857313156128,0.08163265138864517,1303.9410400390625,0.43979591131210327,0.0,0.47551020979881287
bad_content_002_03,2,bad_content,1,0.20408163964748383,0.40816327929496765,0.1428571492433548,0.918367326259613,0.09872030466794968,0.5969387888908386,0.1428571492433548,0.3959183990955353
bad_physio_002_04,2,bad_physio,1,0.9387755393981934,0.6734693646430969,0.18367347121238708,0.6122449040412903,3.091099977493286,0.7591837048530579,0.18367347121238708,0.26530611515045166
clean_003_00,3,clean,0,0.4693877696990967,0.8775510191917419,0.9591836929321289,0.5918367505073547,235.82711791992188,0.5367347002029419,0.9591836929321289,0.6591836214065552
clean_003_01,3,clean,0,0.3469387888908386,0.8367347121238708,0.918367326259613,0.22448979318141937,324.2542724609375,0.279591828584671,0.918367326259613,0.7775510549545288
bad_artifact_003_02,3,bad_artifact,0,0.7346938848495483,0.18367347121238708,0.5510203838348389,0.0,4349.115234375,0.3306122422218323,0.0,0.5081632137298584
bad_content_003_03,3,bad_content,0,0.040816325694322586,0.5306122303009033,0.4285714328289032,0.8979591727256775,0.14314180612564087,0.5122448801994324,0.4285714328289032,0.5479592084884644
bad_physio_003_04,3,bad_physio,0,0.6938775777816772,0.5918367505073547,0.2448979616165161,0.6530612111091614,2.4533400535583496,0.6714285612106323,0.2448979616165161,0.34387755393981934
clean_004_00,4,clean,1,0.5510203838348389,1.0,0.8163265585899353,0.4693877696990967,265.2586975097656,0.5061224699020386,0.8163265585899353,0.6438775658607483
clean_004_01,4,clean,1,0.4285714328289032,0.08163265138864517,0.3265306055545807,0.3469387888908386,284.83648681640625,0.3836734890937805,0.3265306055545807,0.4571428596973419
bad_artifact_004_02,4,bad_artifact,1,0.7755101919174194,0.20408163964748383,0.6122449040412903,0.020408162847161293,3518.079345703125,0.3602040410041809,0.0,0.5071428418159485
bad_content_004_03,4,bad_content,1,0.020408162847161293,0.44897958636283875,0.3469387888908386,0.9387755393981934,0.07015512138605118,0.5255101919174194,0.3469387888908386,0.5122448801994324
bad_physio_004_04,4,bad_physio,1,0.9591836929321289,0.7346938848495483,0.10204081982374191,0.7142857313156128,2.0977747440338135,0.8244898319244385,0.10204081982374191,0.22142857313156128
clean_005_00,5,clean,1,0.2857142984867096,0.0,0.5102040767669678,0.2857142984867096,293.7385559082031,0.2857142984867096,0.5102040767669678,0.5561224222183228
clean_005_01,5,clean,1,0.30612245202064514,0.9591836929321289,0.8367347121238708,0.4897959232330322,261.0931396484375,0.40714284777641296,0.8367347121238708,0.7234694361686707
bad_artifact_005_02,5,bad_artifact,1,0.795918345451355,0.2857142984867096,0.5714285969734192,0.040816325694322586,2941.23681640625,0.38061222434043884,0.0,0.4969387948513031
bad_content_005_03,5,bad_content,1,0.08163265138864517,0.36734694242477417,0.08163265138864517,0.9795918464660645,0.020830100402235985,0.5755102038383484,0.08163265138864517,0.4020408093929291
